ID,V_fMag,V_fPhase,I_fMag,I_fPhase,Power_fW,Power_fVar,Power_fVa,Power_fPf,Power_fQ,Freq,Year,Seconds_of_Year,
53,22.4121,0.0,-1.39822,0.0,-0.002455,0.13392,0.272266,0.11475,-0.000412,60.5228,2018,0,
54,22.4143,0.0,-0.801191,0.0,-0.002868,0.218921,0.218952,0.188158,0.007948,60.1335,2018,0,
55,22.4171,0.0,-1.3826,0.0,-0.003253,0.110652,0.306798,0.094201,-0.000697,58.1279,2018,0,
56,22.4201,0.0,0.320603,0.0,-0.003382,-0.000685,0.167919,-0.002284,-0.034963,58.8942,2018,0,
57,22.4229,0.0,-0.374118,0.0,-0.003297,0.020473,0.228518,0.016082,-0.009318,59.0836,2018,0,
58,22.4251,0.0,-1.48047,0.0,-0.003351,0.229328,0.24009,0.196929,-0.00367,59.7618,2018,0,
59,22.4273,0.0,-1.13466,0.0,-0.002994,0.150246,0.223134,0.12862,-0.007039,60.0135,2018,0,
60,22.4301,0.0,-0.350586,0.0,-0.002869,0.069198,0.178585,0.058493,-0.004206,60.3281,2018,0,
61,22.4324,0.0,-0.787543,0.0,-0.002516,0.074826,0.299119,0.063544,0.001782,59.5561,2018,0,
62,22.4354,0.0,-0.33907,0.0,-0.003217,-0.054384,0.239672,-0.048706,-0.003485,60.3883,2018,0,
63,22.4382,0.0,-1.01751,0.0,-0.003777,-0.109431,0.137843,-0.096658,-0.0163,58.7977,2018,0,
64,22.4409,0.0,0.300288,0.0,-0.003173,-0.156653,0.174185,-0.137252,-0.020718,59.9881,2018,0,
65,22.4431,0.0,-0.761637,0.0,-0.002906,-0.256459,0.299112,-0.223553,0.001214,60.4963,2018,0,
66,22.4454,0.0,0.616898,0.0,-0.002789,-0.025104,0.198141,-0.023135,-0.00422,59.789,2018,0,
67,22.4486,0.0,0.095511,0.0,-0.00345,-0.070514,0.191699,-0.062792,-0.006694,60.2481,2018,0,
68,22.4513,0.0,-0.565573,0.0,-0.003334,0.033273,0.21822,0.027148,-0.045856,59.6084,2018,0,
69,22.4546,0.0,-1.30014,0.0,-0.003613,0.100499,0.323455,0.085228,-0.002328,59.7078,2018,0,
70,22.4572,0.0,-0.466326,0.0,-0.003388,-0.138291,0.288366,-0.121457,-0.002254,59.628,2018,0,
71,22.4593,0.0,0.258893,0.0,-0.003618,0.015391,0.177183,0.01152,-0.00584,59.8987,2018,0,
72,22.4619,0.0,-0.41417,0.0,-0.00318,-0.067797,0.237666,-0.060304,-0.007003,60.4727,2018,0,
73,22.4645,0.0,0.168479,0.0,-0.003042,-0.012615,0.203595,-0.012446,-0.082849,59.9805,2018,0,
74,22.4672,0.0,-0.434921,0.0,-0.003215,0.054631,0.304853,0.045704,-0.004379,60.0876,2018,0,
75,22.47,0.0,-0.121877,0.0,-0.00274,0.073498,0.188543,0.062281,0.002406,60.5828,2018,0,
76,22.4724,0.0,-0.318943,0.0,-0.002691,0.044119,0.236585,0.036863,-0.001295,60.1213,2018,0,
77,22.4754,0.0,-1.40891,0.0,-0.003127,0.083948,0.15438,0.071138,-0.033389,60.3865,2018,0,
78,22.4777,0.0,-0.749327,0.0,-0.002326,0.089448,0.172662,0.076301,0.006332,59.3574,2018,0,
79,22.4807,0.0,-0.937296,0.0,-0.002854,0.24492,0.264895,0.21068,0.019258,59.4262,2018,0,
80,22.4834,0.0,0.673369,0.0,-0.003252,0.057162,0.253577,0.047878,0.019679,60.0782,2018,0,
81,22.4866,0.0,-0.600936,0.0,-0.003523,0.077965,0.186334,0.065758,-0.011064,59.0984,2018,0,
82,22.4892,0.0,-1.72586,0.0,-0.0029,0.037161,0.242759,0.030733,-0.007595,60.506,2018,0,
83,22.4913,0.0,-0.547429,0.0,-0.003084,-0.094999,0.280611,-0.083814,-0.004317,60.8039,2018,0,
84,22.4941,0.0,0.11971,0.0,-0.003164,-0.170515,0.240579,-0.149252,-0.001469,58.9086,2018,0,
85,22.4971,0.0,-0.14094,0.0,-0.003129,-0.053929,0.163585,-0.048269,-0.005937,59.8241,2018,0,
86,22.5,0.0,-1.31659,0.0,-0.003446,-0.043559,0.248674,-0.039446,-0.005945,60.691,2018,0,
87,22.5026,0.0,-0.222868,0.0,-0.003007,-0.073037,0.104845,-0.064755,-0.0178,59.3126,2018,0,
88,22.5052,0.0,0.415463,0.0,-0.002442,-0.062868,0.175532,-0.055666,0.07925,59.7419,2018,0,
89,22.5077,0.0,0.328295,0.0,-0.002998,-0.048692,0.109856,-0.043668,-0.042468,61.5512,2018,0,
90,22.5106,0.0,-0.172499,0.0,-0.003524,-0.094262,0.333999,-0.083395,-0.002191,59.4696,2018,0,
91,22.5135,0.0,0.158442,0.0,-0.002959,0.062515,0.178124,0.05266,-0.006241,60.0686,2018,0,
92,24.0532,0.0,-0.238748,0.0,-0.003693,0.027359,0.110942,0.021848,-0.051674,59.8137,2018,0,
93,24.0569,0.0,-0.192808,0.0,-0.003511,0.047739,0.263461,0.039588,-0.030395,59.3001,2018,0,
94,24.0603,0.0,0.909229,0.0,-0.00366,0.065481,0.277299,0.054878,-0.009103,58.4618,2018,0,
95,24.0647,0.0,-0.374494,0.0,-0.00383,0.21091,0.211126,0.180738,-0.069014,60.0568,2018,0,
96,24.0674,0.0,-0.520138,0.0,-0.003393,0.036454,0.071956,0.029874,-0.058514,59.9425,2018,0,
97,24.0721,0.0,-1.32428,0.0,-0.004168,0.0404,0.143542,0.032904,-0.084682,59.4002,2018,0,
98,24.0754,0.0,-1.57585,0.0,-0.003854,0.031699,0.133829,0.025525,-0.024224,60.1759,2018,0,
99,24.079,0.0,-1.45431,0.0,-0.00354,0.282702,0.288963,0.243057,-0.009983,59.4264,2018,0,
100,24.0831,0.0,0.2863,0.0,-0.00389,-0.020146,0.190427,-0.019392,-0.008003,60.0106,2018,0,
101,24.0866,0.0,-0.272945,0.0,-0.003206,0.144068,0.158625,0.123163,-0.088785,59.923,2018,0,
102,24.0898,0.0,-1.28581,0.0,-0.004313,0.083117,0.232231,0.069825,-0.010806,60.2339,2018,0,
103,24.0935,0.0,-1.17065,0.0,-0.004176,0.130616,0.242283,0.111029,-0.011612,60.8577,2018,0,
104,24.0975,0.0,-1.01283,0.0,-0.003943,0.094179,0.122448,0.07959,-0.131253,60.352,2018,0,
105,24.1011,0.0,-0.448858,0.0,-0.00317,0.21395,0.220677,0.183701,-0.023704,60.0175,2018,0,
106,24.1046,0.0,0.138306,0.0,-0.003575,0.319446,0.333786,0.274861,-0.008863,60.3453,2018,0,
107,24.1086,0.0,-0.35974,0.0,-0.003753,0.179467,0.194821,0.153547,-0.067417,59.4657,2018,0,
108,24.1125,0.0,-0.056075,0.0,-0.003731,0.050313,0.14745,0.041707,-0.00985,59.1387,2018,0,
